,name,year,price,bodyPercent,Tanning,Sugar,Acidic
140,"Maison Capitain-Gagnerot
Ladoix 1er Cru 'La Micaude' 2018",2018,$69.99,39.5086%;,28.7243%;,0px;,58.3695%;
141,"Domaine de Montille
Nuits-Saint-Georges 1er Cru Aux Thorey 2020",2020,$245.99,40.9028%;,33.1316%;,7.87756%;,72.0861%;
142,"Albert Morot
Beaune 1er Cru 'Les Teurons' 2020",2020,$71.99,31.5924%;,26.0428%;,6.29847%;,61.9171%;
143,"Louis Jadot
Santenay Clos de Malte 2020",2020,$42.99,31.1953%;,22.08%;,6.31699%;,62.475%;
144,"Domaine Frédéric Esmonin
Gevrey-Chambertin 'Clos Prieur' 2022",2022,$48.99,37.6613%;,32.8177%;,7.66552%;,72.7692%;
145,"Domaine Faiveley
Nuits-Saint-Georges 2019",2019,$89.99,41.4336%;,32.3279%;,9.54072%;,71.6581%;
146,"Hubert Lignier
Morey-Saint-Denis Trilogie 2021",2021,$135,47.0923%;,36.1377%;,2.47144%;,72.7205%;
147,"Jérôme Chézeaux
Clos de Vougeot Grand Cru 2019",2019,$200,36.5579%;,28.0711%;,0px;,80.7093%;
148,"Hubert Lignier
Morey-Saint-Denis Trilogie 2020",2020,$125,47.0923%;,36.1377%;,2.47144%;,72.7205%;
149,"Domaine Faiveley
Vosne-Romanée 2020",2020,$129.99,47.0923%;,36.1377%;,2.47144%;,72.7205%;
150,"Château de Marsannay
Marsannay 2020",2020,$53.99,41.6145%;,31.2054%;,6.40613%;,72.6605%;
151,"Vincent Dancer
Beaune 1er Cru 'Les Montrevenots' 2019",2019,$94.35,37.8066%;,23.9434%;,0px;,67.625%;
152,"François Confuron-Gindre
Vosne-Romanée 1er Cru 'Les Chaumes' 2018",2018,$176.95,43.9858%;,36.7302%;,11.9787%;,67.0598%;
153,"François Confuron-Gindre
La Colombière Vosne-Romanée 2018",2018,$141.60,41.9781%;,25.1798%;,11.9737%;,60.7675%;
154,"Benjamin Leroux
Nuits-Saint-Georges Premier Cru 'Aux Thorey' 2020",2020,$175.82,43.8117%;,29.8217%;,7.8286%;,71.4596%;
155,"Lucien le Moine
Nuits-Saint-Georges Premier Cru Les Vaucrains 2019",2019,$187.62,46.3999%;,36.4351%;,6.05474%;,71.1846%;
156,"Louis Jadot
Vosne-Romanée 1er Cru 'Les Suchots' 2018",2018,$188.75,41.6828%;,31.0304%;,10.7173%;,73.1715%;
157,"Gille
Nuits-Saint-Georges 1er Cru 'Les Cailles' 2020",2020,$147.50,46.4767%;,33.3461%;,12.8993%;,74.2127%;
158,"Domaine Nicole Lamarche (François Lamarche)
Vosne-Romanée 1er Cru 'Les Chaumes' 2020",2020,$188.75,37.7204%;,31.8102%;,14.2253%;,69.7216%;
159,"Domaine Castagnier
Clos Saint-Denis Grand Cru 2016",2016,$234.82,38.2162%;,34.6256%;,9.42619%;,71.2072%;
