name,year,price,bodyPercent,Tanning,Sugar,Acidic
"Domaine de la Janasse
Châteauneuf-du-Pape Chaupin 2020",2020,$99.99,82.2499%;,40.5419%;,17.6465%;,44.6634%;
"M. Chapoutier
Côte-Rôtie La Mordorée 2007",2007,$115.95,69.3427%;,66.1683%;,5.99777%;,64.7653%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 2009",2009,$269.95,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Le Clos des Cazaux
Prestige 2020",2020,$49.99,67.6143%;,44.0044%;,3.38889%;,49.843%;
"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes 2021",2021,$141.74,85%;,43.9393%;,5.10871%;,44.7253%;
"La Boutinière
Châteauneuf-du-Pape Rouge 2020",2020,$52.49,83.0601%;,37.2028%;,4.21383%;,47.3101%;
"Yves Cuilleron
Côte-Rôtie Bassenon 2020",2020,$98.69,71.2426%;,66.6807%;,5.25286%;,66.5802%;
"Domaine du Père Caboche
Châteauneuf-du-Pape 2022",2022,$34.60,85%;,40.0601%;,9.67762%;,44.0673%;
"Château Pesquie
Ventoux Artemia 2020",2020,$36.74,66.816%;,48.6745%;,13.5012%;,54.8884%;
"Domaine de Saje
Châteauneuf-du-Pape Rouge 2021",2021,$53.54,85%;,33.3252%;,0px;,41.0622%;
"Paul Autard
Châteauneuf-du-Pape 2020",2020,$47.24,85%;,39.3746%;,6.73618%;,45.5976%;
"Pères de l'Église
Le Calice de Saint Pierre Châteauneuf-du-Pape Rouge 2022",2022,$48.29,82.8158%;,38.2891%;,9.19918%;,46.4709%;
"Clos des Papes (Paul Avril)
Châteauneuf-du-Pape 2021",2021,$131.24,81.8996%;,39.3383%;,14.0024%;,44.2708%;
"Louis Barruol
La Boisselée Côte-Rôtie 2019",2019,$102.89,75.1942%;,69.4771%;,4.75598%;,68.4353%;
"Louis Barruol
La Pierrelle Hermitage 2020",2020,$97.64,85%;,76.3996%;,10.5181%;,54.4985%;
"Château de Saint Cosme
Gigondas Le Claux 2021",2021,$119.99,65.0874%;,53.6339%;,11.3159%;,55.2799%;
"Château de Saint Cosme
Saint Cosme Côte-Rotie 2021",2021,$69.99,71.064%;,68.5065%;,6.537%;,64.8061%;
"Francois Villard
Côte-Rôtie Le Gallet Blanc 2018",2018,$91.79,74.9826%;,65.8136%;,6.67641%;,63.3228%;
"Domaine Lafond
Châteauneuf-du-Pape Roc Epine 2017",2017,$50.99,82.0381%;,36.994%;,6.82043%;,45.7951%;
"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes 2019",2019,$94.99,85%;,43.9393%;,5.10871%;,44.7253%;
"Pegau
Châteauneuf-du-Pape Cuvée Laurence 2013",2013,$499.99,83.5078%;,40.4617%;,13.9384%;,44.3571%;
"Pegau
Châteauneuf-du-Pape Cuvée Laurence 2019",2019,$125.99,83.5078%;,40.4617%;,13.9384%;,44.3571%;
"Domaine Jamet
Côte-Rôtie 2008",2008,$289.99,71.4479%;,68.9926%;,7.55839%;,65.6606%;
"Pegau
Cuvée Réservée Châteauneuf-du-Pape Rouge 2020",2020,$79.99,85%;,42.4106%;,12.0861%;,44.4954%;
"Domaine de Saje
Châteauneuf-du-Pape Rouge 2019",2019,$49.99,85%;,33.3252%;,0px;,41.0622%;
"Jean Baptiste Souillard
Côteaux de Bassenon Côte-Rôtie 2017",2017,$109.99,70.6743%;,76.8256%;,0px;,68.3553%;
"Pegau
Cuvée Réservée Châteauneuf-du-Pape Rouge 2020",2020,$79.99,85%;,42.4106%;,12.0861%;,44.4954%;
"Château de Beaucastel
Châteauneuf-du-Pape 1995",1995,$343,83.2174%;,39.8547%;,10.6892%;,45.0798%;
"Domaine du Vieux Télégraphe
Télégramme Châteauneuf-du-Pape 2020",2020,$72.99,82.0464%;,40.35%;,5.56647%;,47.0839%;
"E. Guigal
Ermitage Ex-Voto 2013",2013,$518,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"Château de Beaucastel
Châteauneuf-du-Pape 2001",2001,$271,83.2174%;,39.8547%;,10.6892%;,45.0798%;
"Clos du Caillou
La Réserve Châteauneuf-du-Pape 2020",2020,$340,82.9909%;,40.5243%;,18.2929%;,42.0424%;
"Domaine Philippe et Vincent Jaboulet
Cornas 2017",2017,$91.99,83.4781%;,46.2292%;,14.9848%;,52.4382%;
"Domaine Alain Verset
Cornas 2017",2017,$56.99,83.1789%;,53.9465%;,6.47987%;,57.4998%;
"Jean-Luc Colombo
Syrah Cornas Les Ruchets 2015",2015,$106.67,85%;,50.2869%;,9.1738%;,56.1419%;
"Domaine de Cristia
Châteauneuf-du-Pape Renaissance 2017",2017,$333.33,85%;,38.6655%;,12.9217%;,40.9537%;
"Domaine du Vieux Télégraphe
Télégramme Châteauneuf-du-Pape 2019",2019,$74.99,82.0464%;,40.35%;,5.56647%;,47.0839%;
"Domaine Courbis
La Sabarotte Cornas 2019",2019,$79.92,85%;,54.9437%;,10.337%;,55.9986%;
"Jean-Luc Colombo
Syrah Cornas Les Ruchets 2013",2013,$100.33,85%;,50.2869%;,9.1738%;,56.1419%;
"M. Chapoutier
Côte-Rôtie La Mordorée 2016",2016,$367.50,69.3427%;,66.1683%;,5.99777%;,64.7653%;
